;Topic_Nr;Words;Probability
46;46;Schencking, ad, papam, pro, capittell, 2, ritterschafft, apud, Munster, sach;0.010991045, 0.008854561, 0.008245281, 0.008152853, 0.0075401478, 0.007074717, 0.0062607857, 0.0054959906, 0.005473021, 0.005259916
47;47;contra, freistellung, puncten, augspurgischen, beschehen, stende, pitten, anmanungschrifft, dato, puncto;0.006753451, 0.0045711477, 0.004457612, 0.0040779435, 0.00384017, 0.0038132768, 0.0037889166, 0.00378888, 0.0037770858, 0.0037712483
48;48;kreis, rath, zettel, ansag, meintzischen, ansagen, sechsische, Sachsen, erschienen, Reichs;0.011891877, 0.011514094, 0.0106012365, 0.010137503, 0.0082110325, 0.008001938, 0.007480921, 0.0073546446, 0.0066889175, 0.006565023
49;49;Reichs, marschalckh, rath, radt, supplication, gesanten, 1576, pfaltzgraff, zuerscheinen, cantzley;0.016567795, 0.014119994, 0.010708742, 0.009922477, 0.008435235, 0.0076123006, 0.007581674, 0.0074622296, 0.007324116, 0.0071705393
50;50;proposition, fursten, rethe, kirchen, stennd, maintzischen, rethen, herrn, roß, stennden;0.017090121, 0.016403394, 0.014004528, 0.009910413, 0.008768842, 0.007578453, 0.0075546894, 0.0075416276, 0.0073380833, 0.0071693063
51;51;stett, erbarn, Reichs, bedenckhen, stende, stenden, höhern, rath, abgesandten, stend;0.04150128, 0.036665354, 0.01960063, 0.018718967, 0.013834292, 0.012327836, 0.0108506875, 0.01078716, 0.01027905, 0.009976877
52;52;ad, sonderbare, ex, hoch, erhalten, versehen, gleich, her, sachen, anno;0.005837534, 0.005541917, 0.005302868, 0.0047677886, 0.0046150465, 0.004613903, 0.004516041, 0.0042915186, 0.0042650397, 0.004036336
53;53;visitation, actus, vorigen, puncten, jahr, fatale, revision, assessorn, religion, friden;0.013918828, 0.008578971, 0.0071792845, 0.007044785, 0.0066499836, 0.0065380605, 0.0065176208, 0.0064671095, 0.0058318092, 0.0054301815
54;54;monat, concept, eilenden, Trier, stenden, 6, 60, 8, zustellen, Sachssen;0.01645695, 0.01097759, 0.0072246604, 0.005748289, 0.005428899, 0.005428009, 0.005259819, 0.005121564, 0.0048484537, 0.004824198
55;55;fursten, religion, räth, chur-, allten, gaistliche, weltliche, beschwerden, wucherlichen, conträct;0.008672182, 0.008374625, 0.0064426814, 0.006091994, 0.005592296, 0.005592296, 0.005592296, 0.005591179, 0.004944906, 0.00400117
56;56;müntz, kreis, müntzen, müntzedict, probation, Befinden, anno, Saltzburg, einzustellen, abzuschaffen;0.018345645, 0.016206106, 0.013258315, 0.010643289, 0.009594115, 0.009545132, 0.009212959, 0.008782031, 0.008656254, 0.008384042
57;57;Battori, stende, Polln, Reich, augspurgischen, stenden, sachen, confeßion, rath, herren;0.012241154, 0.010869313, 0.009739527, 0.009618848, 0.009583129, 0.009154052, 0.00878364, 0.00778912, 0.007644574, 0.006729782
58;58;Brandenburg, Trier, decreto, anno, fiscall, stende, bezalt, publiciren, stenden, bleiben;0.00891639, 0.008894862, 0.0077789524, 0.0068611633, 0.006793008, 0.006375949, 0.0057870285, 0.0056190565, 0.005281841, 0.005261153
59;59;monat, termin, bewilligung, Brandenburg, 48, 6, stendt, bewilligt, vergleicht, idem;0.028979747, 0.01682431, 0.012924201, 0.009157537, 0.0073571834, 0.00645131, 0.006386751, 0.0062800953, 0.006242906, 0.0060632755
60;60;stendt, anno, session, fiscal, proceß, deßhalber, matricul, seßion, bedenckhen, puncten;0.013287802, 0.0067734094, 0.0063616065, 0.006323508, 0.005333711, 0.005083442, 0.005076931, 0.0050609126, 0.004911633, 0.004602501
61;61;Trier, Pfaltz, Sachsen, caesari, Brandenburg, caesar, Cöln, Sey, Maintz, Reich;0.012333167, 0.010674432, 0.010047319, 0.008583272, 0.00848762, 0.008213422, 0.008161165, 0.0073026777, 0.007218304, 0.0068467935
62;62;Schweden, Lubeckh, schreiben, repressalien, Dennemarckh, stettinischen, benachbarten, commination, gesanter, probationes;0.06354466, 0.041797068, 0.03256533, 0.022417111, 0.018028807, 0.009400593, 0.009103539, 0.009083319, 0.008936041, 0.008718451
63;63;Pfaltz, belangend, erst, gleich, sach, waaltag, jungsten, damaln, keiser, Ortenburg;0.007643799, 0.0074941134, 0.0066743987, 0.006245183, 0.0061879777, 0.0060759177, 0.005786746, 0.005599716, 0.0055264332, 0.00547226
64;64;Pfaltz, holtz, visitation, cammergericht, zurelaxiren, collegio, personen, zuthun, kunfftige, meynung;0.02578913, 0.016620254, 0.011707425, 0.011553179, 0.011084641, 0.010984822, 0.01079294, 0.0071570985, 0.0069326046, 0.0068449136
65;65;stendt, stende, mittag, catholische, catholischen, stend, declaration, stenden, allergnedigst, schrifften;0.017606938, 0.008201346, 0.0072210436, 0.0065708426, 0.006314122, 0.0062791673, 0.005833444, 0.0057425504, 0.0056096446, 0.0054263943
66;66;protestation, stende, bevelch, moderations, tags, Verdun, underthanen, electus, confeßion, mandata;0.009837182, 0.009722447, 0.007292186, 0.006783724, 0.006616397, 0.0066037555, 0.0063778036, 0.0057007154, 0.0055198623, 0.005353744
67;67;anno, legation, bedacht, Lifflandt, caesari, puncten, relation, rath, wissen, Reichs;0.018018883, 0.011121085, 0.009253419, 0.0076882723, 0.0073479973, 0.007331945, 0.0072854995, 0.006901975, 0.006830674, 0.0066851587
68;68;bedennckhen, anno, fürstenraths, sequestration, gefallen, bedenckhen, stendt, restitution, vergleichen, rath;0.014789277, 0.009075325, 0.0081150485, 0.008075048, 0.0075974003, 0.0072520645, 0.007141811, 0.0063186847, 0.0056808954, 0.0055951294
69;69;replic, stende, puncten, stett, bedenckhen, herren, triplic, punctens, ersten, ubergeben;0.015468408, 0.01442894, 0.01154543, 0.008719122, 0.007902162, 0.007727992, 0.007025167, 0.006795173, 0.0066764206, 0.005844128
70;70;Österreich, Saltzburg, Bairn, abbt, Hessen, sachen, Fulda, Würtzburg, Saxen, recht;0.027588487, 0.021921549, 0.018410223, 0.016620738, 0.0135901, 0.013013935, 0.013011487, 0.009406812, 0.007865681, 0.0077706664
71;71;pesser, gaistlichen, ubergeben, Harrach, petitis, gewalt, session, ausschuß, quae, konftig;0.00748616, 0.0067995065, 0.0065754103, 0.005555614, 0.0053461967, 0.004184551, 0.0040774494, 0.0040498385, 0.0040063285, 0.0039897016
72;72;meintzische, mittel, räthe, sechsischen, meintzischen, herrn, bevelch, churfürstliche, churfürsten, propositione;0.03531273, 0.023232294, 0.02292398, 0.017292453, 0.016995305, 0.016569024, 0.016035013, 0.012212568, 0.0112460535, 0.0110825
73;73;anno, Reichs, schreiben, zulassen, proceß, Schweden, Reich, Trier, Sachssen, hern;0.010993861, 0.009014918, 0.008689658, 0.008594905, 0.008293571, 0.007292829, 0.0062914616, 0.0060263597, 0.0059536127, 0.0055327
74;74;rath, fursten, bedencken, cantzler, raths, churfursten, chur-, Meintzische, Fursten, concept;0.07885523, 0.046771407, 0.028882254, 0.027786853, 0.019365927, 0.018499529, 0.015515899, 0.014412759, 0.013826175, 0.013503708
75;75;abt, Fulda, ritterschafft, Wurtzburg, Würtzburg, bischoff, sachen, metus, rath, mandata;0.06842522, 0.027205182, 0.019158382, 0.016455358, 0.016192783, 0.0150815975, 0.010202202, 0.009703658, 0.0089123575, 0.008889378
76;76;di, bevelch, condition, cesar, religion, resolution, declaration, werck, cesaris, gefallen;0.034346007, 0.025134515, 0.025114264, 0.021348307, 0.015086816, 0.013633139, 0.010659104, 0.010405847, 0.010177779, 0.01016892
77;77;personen, rath, zulassen, 6, anno, visitation, ad, assessores, 70, räth;0.015239323, 0.009096378, 0.008810839, 0.007764728, 0.007673201, 0.0076606167, 0.007199117, 0.0070362645, 0.006938741, 0.0067161843
78;78;zeit, rath, puncten, stende, vergebenlich, höhere, zugebracht, ufgerichter, einkomene, contributionis;0.006407402, 0.006398311, 0.0063888584, 0.006379267, 0.0063792663, 0.0063792663, 0.0063648405, 0.006233486, 0.0061987243, 0.0032410931
79;79;müntz, thaler, müntzen, müntzordnung, gravamina, ordnung, kreis, Reichs, reinischen, zumüntzen;0.034062732, 0.015894895, 0.014455633, 0.011410949, 0.009057573, 0.008868219, 0.008500098, 0.0070295935, 0.0068744025, 0.0059825103
80;80;gravamina, di, usschus, verprecher, anhang, Österreich, geredt, Trier, stat, ordnung;0.011410905, 0.009985243, 0.00795266, 0.0074432343, 0.0066717807, 0.006549872, 0.006531082, 0.006261719, 0.0059282808, 0.005913268
81;81;bedencken, stätt, replic, 1, 3, articulo, Dinstags, innen, beharren, gesehen;0.005705884, 0.005691441, 0.005691441, 0.00569144, 0.00569144, 0.00569144, 0.005612261, 0.0029375255, 0.002884634, 0.0028836648
82;82;concept, nomine, fürstenraths, referirt, visitation, stendt, zulassen, fürstenrath, bedenckhen, rath;0.008803591, 0.007300753, 0.006920997, 0.006865064, 0.0062334826, 0.006202717, 0.006164793, 0.006127154, 0.005953671, 0.005874863
